order_item_id;order_id;product_id;quantity;unit_price;discount
OI0001;O0001;P001;3;4899.9;0
OI0002;O0001;P005;1;R$ 39,90;15
OI0003;O0002;P002;1;89.90;0
OI0004;O0002;P006;2;799.00;10
OI0005;O0003;P003;2;349.90;5%
OI0006;O0003;P007;2;179.90;0
 OI0007 ;O0004;P004;2;R$ 1.199,00;0.15
OI0008;O0004;P008;3;249.90;0
OI0009;O0005;P005;3;39.90;0%
OI0010;O0005;P009;1;$499.90;15
OI0011;O0006;P006;2;$799.00;0
OI0012; o0006 ;P010;3;$159.90;5
OI0013;O0007;P007;2;179,9;5
OI0014;O0007;P001;1 units;$4,899.90;5
OI0015;O0008;P008;2;249.90;15
OI0016;O0008;P002;3;89,9;0
OI0017;O0009;P009;3;499.9;0
OI0018;O0009;P003;3;349,9;0.15
OI0019;O0010;P010;1;159.90;0.15
OI0020;O0010;p004;1;1,199.00;0
OI0021;O0011;P001;1;4899.90;0.15
OI0022;O0011;P005;1;R$ 39,90;10%
OI0023;O0012;P002;2;89,9;0%
OI0024;O0012;P006;3;799;0
OI0025;O0013;P003;1;349,9;0%
OI0026;O0013;P007;1;179.90;0
OI0027;O0014;P004;2;1199;0.1
OI0028;O0014;P008;3;249.90;0
OI0029;O0015;P005;1;39.90;0
OI0030;O0015;P009;2;499,9;15
 OI0031 ;O0016;P006;1;799.0;5
OI0032;O0016;P010;1;$159.90;0
OI0033;O0017;P007;1;$179.90;0%
OI0034;O0017;P001;3;R$ 4.899,90;0%
OI0035;O0018;P008;3;249.90;0.1
OI0036;O0018;P002;3;89.90;0
OI0037;O0019;P009;3;499.90;0%
OI0038;O0019;P003;3;R$ 349,90;0
OI0039;O0020;P010;3;$159.90;10
OI0040;O0020;P004;1;1,199.00;10
OI0041;O0021;P001;3;4899.9;0.1
OI0042;O0021;P005;3;39.90;10
OI0043;O0022;P002;1;89.9;15%
OI0044;O0022;P006;2;799;0.15
OI0045;O0023;P003;1;349,9;0%
OI0046;O0023;P007;2;$179.90;15
OI0047;O0024;P004;1;R$ 1.199,00;10
OI0048; o0024 ;P008;1;$249.90;0%
OI0049;O0025;P005;3;R$ 39,90;0.05
OI0050;O0025;P009;2;$499.90;5%
OI0051;O0026;P006;2;799.00;0
OI0052;O0026;P010;1;159.9;10%
OI0053;O0027;P007;3;179.90;5%
OI0054;O0027;P001;2;4899,9;0
OI0055;O0028;p008;1;$249.90;0%
OI0056;O0028;P002;3;$89.90;0
OI0057;O0029;P009;1;R$ 499,90;15
OI0058;O0029;P003;3;349.90;15%
OI0059;O0030;P010;1;$159.90;0%
OI0060;O0030;P004;1;1199;0.15
OI0061;O0031;P001;1;$4,899.90;0.15
OI0062;O0031;P005;2;39.90;0
OI0063;O0032;P002;2;89.9;10%
OI0064;O0032;P006;2;799.00;0
OI0065;O0033;P003;1;349,9;10
OI0066;O0033;P007;1 units;$179.90;0.15
OI0067;O0034;P004;3;1,199.00;0%
OI0068;O0034;P008;2;$249.90;0
OI0069;O0035;P005;1;39.90;5
OI0070;O0035;P009;1;R$ 499,90;0
OI0071;O0036;P006;3;$799.00;0
OI0072;O0036;P010;1;R$ 159,90;15%
OI0073;O0037;P007;2;179.9;0
OI0074;O0037;P001;1;4899.90;0.1
 OI0075 ;O0038;P008;1;$249.90;5%
OI0076;O0038;P002;3;$89.90;10
OI0077;O0039;P009;3;499.90;0
OI0078;O0039;P003;3;R$ 349,90;0.05
OI0079;O0040;P010;1;159.90;0
OI0080;O0040;P004;1;1199;10
OI0081;O0041;P001;1;4899,9;0
OI0082; o0041 ;P005;2;$39.90;10%
OI0083;O0042;P002;1;89.90;10%
OI0084;O0042;P006;2;799.0;0.1
OI0085;O0043;P003;3;349.90;5%
OI0086;O0043;P007;1;$179.90;0
OI0087;O0044;P004;2;1199.00;10
OI0088;O0044;P008;2;R$ 249,90;0%
OI0089;O0045;P005;1;$39.90;15
OI0090;O0045;p009;1;499.90;0
OI0091;O0046;P006;1;R$ 799,00;0.05
OI0092;O0046;P010;3;R$ 159,90;0
OI0093;O0047;P007;1;179,9;0
OI0094;O0047;P001;1;4899,9;0%
OI0095;O0048;P008;1;$249.90;5%
OI0096;O0048;P002;3;89.90;0%
OI0097;O0049;P009;1;R$ 499,90;0
OI0098;O0049;P003;3;349.90;10
OI0099;O0050;P010;1;159.90;15%
OI0100;O0050;P004;1;1,199.00;0%
